CustomerKey,FirstName,MiddleName,LastName,CountryName,DateFirstPurchase,SalesOrderNumber,OrderDate,SalesAmount,OrderElapsedDays
14685,Lawrence,,Ortega,Australia,2013-08-01,SO68892,2013-10-22 00:00:00.000,64.47,82
11893,Orlando,J,Carlson,Australia,2011-08-31,SO45601,2011-08-31 00:00:00.000,3374.99,0
23725,Dennis,L,Ware,Canada,2011-10-01,SO45825,2011-10-01 00:00:00.000,3578.27,0
26667,Jillian,,Patel,Australia,2012-08-02,SO52568,2013-02-10 00:00:00.000,607.96,192
23877,Katherine,T,Morris,United States,2013-11-29,SO71967,2013-11-29 00:00:00.000,78.96,0
13981,Joy,,Carlson,Australia,2013-05-05,SO62471,2013-07-20 00:00:00.000,35.23,76
11632,Alexandra,D,Jenkins,Canada,2013-01-30,SO56862,2013-04-27 00:00:00.000,49.99,87
18886,Donald,E,McDonald,United States,2013-09-26,SO67104,2013-09-26 00:00:00.000,69.99,0
14735,Maria,,Rogers,United States,2011-08-06,SO45385,2011-08-06 00:00:00.000,699.0982,0
27076,Dakota,A,Russell,United States,2012-08-18,SO49358,2012-08-18 00:00:00.000,2071.4196,0
26090,Mathew,,Moreno,United States,2011-11-02,SO64846,2013-08-23 00:00:00.000,2419.06,660
14569,Kristopher,,Rodriguez,United States,2013-10-22,SO68914,2013-10-22 00:00:00.000,7.28,0
14401,Jose,P,Kumar,United States,2013-05-22,SO58443,2013-05-22 00:00:00.000,15.23,0
13722,Luke,,Campbell,United States,2012-06-21,SO48646,2012-06-21 00:00:00.000,2443.35,0
11134,Larry,D,Townsend,Australia,2011-05-03,SO70015,2013-11-03 00:00:00.000,742.35,915
13340,Natalie,,Edwards,United States,2012-02-18,SO47248,2012-02-18 00:00:00.000,2181.5625,0
11066,Grace,T,Butler,United States,2013-05-31,SO66656,2013-09-19 00:00:00.000,38.98,111
22364,Katherine,E,Jenkins,United States,2013-07-18,SO62358,2013-07-18 00:00:00.000,45.22,0
19749,Natalie,A,Jackson,United States,2013-08-17,SO64425,2013-08-17 00:00:00.000,682.92,0
12593,Benjamin,F,Zhang,United Kingdom,2013-02-18,SO65364,2013-08-29 00:00:00.000,33.98,192
24511,Logan,,Hall,United States,2013-08-28,SO65108,2013-08-28 00:00:00.000,36.59,0
19045,Ross,D,Rodriguez,France,2013-05-27,SO58742,2013-05-27 00:00:00.000,48.97,0
23098,Pedro,E,Rubio,Australia,2012-06-01,SO62874,2013-07-26 00:00:00.000,563.77,420
12822,Alexandra,,James,Germany,2013-11-26,SO71589,2013-11-26 00:00:00.000,75.97,0
25211,Diane,M,Torres,Australia,2013-10-21,SO68816,2013-10-21 00:00:00.000,79.47,0
26140,Emily,L,Long,Australia,2012-03-22,SO47611,2012-03-22 00:00:00.000,782.99,0
21092,Gina,A,Gutierrez,United Kingdom,2012-10-24,SO52679,2013-02-13 00:00:00.000,1728.27,112
13322,Elizabeth,E,Patterson,United States,2013-05-09,SO57726,2013-05-09 00:00:00.000,85.48,0
23107,Michele,,Kumar,Australia,2012-06-27,SO48715,2012-06-27 00:00:00.000,2181.5625,0
29048,William,,Harris,United States,2011-06-10,SO44875,2011-06-10 00:00:00.000,3578.27,0
27778,Tabitha,,Garcia,United Kingdom,2013-08-01,SO63420,2013-08-01 00:00:00.000,539.99,0
19054,Arthur,M,Alonso,United Kingdom,2013-12-09,SO72678,2013-12-09 00:00:00.000,21.98,0
12586,Kellie,A,Hernandez,Australia,2012-02-03,SO47117,2012-02-03 00:00:00.000,2071.4196,0
27621,Edward,,Brown,United States,2010-12-31,SO71203,2013-11-20 00:00:00.000,2393.06,1055
17950,Alberto,,Ortega,France,2012-12-13,SO63559,2013-08-04 00:00:00.000,1732.26,234
12620,Maurice,,Lal,France,2011-09-20,SO67139,2013-09-26 00:00:00.000,570.47,737
23652,Roger,A,Goel,Australia,2012-09-27,SO63864,2013-08-08 00:00:00.000,1725.98,315
11977,Bonnie,,Jai,Australia,2011-11-01,SO64294,2013-08-15 00:00:00.000,2461.55,653
13397,Adam,,Mitchell,United States,2013-11-12,SO70638,2013-11-12 00:00:00.000,2396.94,0
29468,Jacqueline,H,Morris,United Kingdom,2013-06-04,SO59484,2013-06-04 00:00:00.000,2428.05,0
13304,Sara,,Peterson,United States,2012-02-26,SO58529,2013-05-23 00:00:00.000,2430.95,452
15880,Patrick,J,Bailey,United States,2013-03-16,SO54493,2013-03-16 00:00:00.000,132.94,0
20549,Jennifer,D,Morris,Germany,2012-04-27,SO69580,2013-10-29 00:00:00.000,2322.28,550
12620,Maurice,,Lal,France,2011-09-20,SO45724,2011-09-20 00:00:00.000,3578.27,0
23975,Frank,,Blanco,Germany,2013-11-22,SO71310,2013-11-22 00:00:00.000,38.98,0
22631,Theodore,,Serrano,United Kingdom,2013-01-06,SO51333,2013-01-06 00:00:00.000,1149.47,0
25121,Clarence,D,Yang,Australia,2012-10-26,SO50173,2012-10-26 00:00:00.000,1000.4375,0
15752,Bobby,,Rodriguez,Australia,2012-12-08,SO50879,2012-12-08 00:00:00.000,2071.4196,0
27429,Stephanie,A,Ward,Canada,2012-10-23,SO50147,2012-10-23 00:00:00.000,782.99,0
25823,Jaime,,Xie,Australia,2011-08-14,SO45439,2011-08-14 00:00:00.000,699.0982,0
16161,Jodi,,Deng,Australia,2012-12-15,SO50954,2012-12-15 00:00:00.000,2049.0982,0
16247,Anna,,Brown,Canada,2013-07-12,SO62609,2013-07-22 00:00:00.000,45.95,10
25198,Michelle,,Ramirez,United States,2013-03-21,SO54811,2013-03-21 00:00:00.000,1249.84,0
16731,Nicole,,White,Canada,2013-03-03,SO53788,2013-03-03 00:00:00.000,84.96,0
13314,Jordan,A,Hernandez,United States,2012-02-16,SO47226,2012-02-16 00:00:00.000,2443.35,0
16420,Eddie,L,Alonso,United Kingdom,2012-02-18,SO47245,2012-02-18 00:00:00.000,2181.5625,0
13114,Claudia,,Zhang,Australia,2012-05-31,SO48418,2012-05-31 00:00:00.000,2071.4196,0
12135,Fernando,W,Taylor,United States,2013-05-09,SO57692,2013-05-09 00:00:00.000,49.99,0
25982,Rebecca,,Phillips,United States,2011-07-24,SO62461,2013-07-19 00:00:00.000,2419.06,726
21938,Savannah,K,Hall,United States,2013-08-13,SO64136,2013-08-13 00:00:00.000,14.98,0
14936,Bryan,,Sanchez,France,2013-08-15,SO64272,2013-08-15 00:00:00.000,95.94,0
12212,Shawna,J,Xie,France,2011-03-27,SO44257,2011-03-27 00:00:00.000,3578.27,0
12526,Michele,C,Suarez,United Kingdom,2012-07-10,SO58542,2013-05-24 00:00:00.000,2329.98,318
23331,Jeremiah,,Gray,Australia,2012-07-27,SO59121,2013-05-30 00:00:00.000,1700.99,307
12369,Terrence,,Lal,Australia,2013-09-25,SO72443,2013-12-06 00:00:00.000,26.97,72
21086,Katelyn,,Bell,Germany,2013-08-14,SO64207,2013-08-14 00:00:00.000,48.97,0
13462,Jay,M,Sara,United States,2012-04-18,SO72407,2013-12-05 00:00:00.000,2376.45,596
26716,Megan,J,Smith,Canada,2013-11-28,SO71722,2013-11-28 00:00:00.000,68.97,0
11410,Maurice,,Goel,France,2012-11-13,SO52213,2013-02-04 00:00:00.000,2414.97,83
11992,Tonya,,Chande,Australia,2011-11-17,SO72845,2013-12-11 00:00:00.000,2393.06,755
11201,Amanda,,Foster,United States,2013-07-01,SO61351,2013-07-01 00:00:00.000,91.97,0
11458,Bianca,K,Liu,Australia,2013-03-30,SO74795,2014-01-18 00:00:00.000,64.97,294
15677,Alyssa,C,Bradley,France,2012-09-27,SO49812,2012-09-27 00:00:00.000,2443.35,0
27395,Jenny,J,Lu,United States,2013-10-03,SO67657,2013-10-03 00:00:00.000,75.47,0
12435,Christy,,Zhou,United States,2011-12-04,SO63044,2013-07-29 00:00:00.000,2341.97,603
15927,Gilbert,N,Huang,Germany,2012-03-07,SO47494,2012-03-07 00:00:00.000,2181.5625,0
19103,Johnathan,,Raman,Australia,2013-03-03,SO65025,2013-08-27 00:00:00.000,21.98,177
27636,Paige,,Murphy,United States,2011-01-11,SO71611,2013-11-26 00:00:00.000,2433.04,1050
14359,Eduardo,R,Henderson,Canada,2013-02-10,SO52543,2013-02-10 00:00:00.000,78.98,0
12903,John,J,Sandstone,Canada,2013-07-08,SO61770,2013-07-08 00:00:00.000,2332.28,0
28445,Shaun,,She,Germany,2013-11-10,SO70491,2013-11-10 00:00:00.000,33.98,0
12487,Willie,,Zhu,Germany,2012-09-14,SO49708,2012-09-14 00:00:00.000,2071.4196,0
13423,Alex,M,Peterson,Canada,2013-07-24,SO75083,2014-01-27 00:00:00.000,39.99,187
16892,Rebecca,,Evans,United States,2013-10-25,SO69130,2013-10-25 00:00:00.000,2341.97,0
11176,Mason,D,Roberts,Canada,2013-02-02,SO63551,2013-08-04 00:00:00.000,28.48,183
26657,Lucas,E,Hughes,Australia,2012-07-09,SO48877,2012-07-09 00:00:00.000,782.99,0
11274,Kyle,M,Foster,United States,2011-08-29,SO45583,2011-08-29 00:00:00.000,3578.27,0
25973,Mariah,,Griffin,United States,2011-06-03,SO61847,2013-07-09 00:00:00.000,2393.06,767
22147,Brett,L,Kapoor,Australia,2013-08-24,SO64856,2013-08-24 00:00:00.000,69.99,0
17067,Adrienne,L,Alvarez,Australia,2013-08-26,SO64961,2013-08-26 00:00:00.000,49.99,0
28549,Lydia,F,Subram,United Kingdom,2013-07-09,SO61854,2013-07-09 00:00:00.000,2418.05,0
16190,Lance,J,Alvarez,United Kingdom,2013-03-18,SO54634,2013-03-18 00:00:00.000,7.28,0
20209,Andrea,A,Turner,Canada,2012-01-18,SO46851,2012-01-18 00:00:00.000,2049.0982,0
24512,Adrienne,L,Jiménez,United States,2013-07-13,SO62039,2013-07-13 00:00:00.000,32.60,0
13750,Raymond,A,Sai,United States,2013-06-08,SO59736,2013-06-08 00:00:00.000,71.97,0
25846,Faith,D,Bailey,United States,2013-09-16,SO66453,2013-09-16 00:00:00.000,64.97,0
18008,Deanna,D,Sai,France,2011-07-17,SO67853,2013-10-06 00:00:00.000,1759.97,812
11492,Terrence,C,Chander,Germany,2012-02-11,SO52965,2013-02-19 00:00:00.000,2354.98,374
12969,Richard,,Rodriguez,Canada,2013-05-15,SO59228,2013-06-01 00:00:00.000,37.27,17
21095,Lance,L,Munoz,France,2013-04-26,SO56825,2013-04-26 00:00:00.000,31.73,0
12953,Catherine,A,Cooper,United States,2013-04-18,SO56419,2013-04-18 00:00:00.000,81.46,0
20516,Gabriel,,Russell,United States,2013-10-12,SO68218,2013-10-12 00:00:00.000,14.98,0
17176,Isaac,M,Ward,United States,2013-11-05,SO70145,2013-11-05 00:00:00.000,2369.96,0
19455,Jack,,Perez,United Kingdom,2012-09-08,SO52480,2013-02-09 00:00:00.000,2478.34,154
12587,Danny,,Travers,Australia,2013-11-03,SO69946,2013-11-03 00:00:00.000,27.28,0
17376,Jaclyn,G,She,United States,2013-06-08,SO59734,2013-06-08 00:00:00.000,4.99,0
28281,Juan,A,Cox,United States,2013-04-27,SO56864,2013-04-27 00:00:00.000,7.28,0
11569,Troy,,Malhotra,United Kingdom,2013-11-20,SO71181,2013-11-20 00:00:00.000,34.99,0
18703,Vincent,A,Huang,Australia,2011-06-10,SO44882,2011-06-10 00:00:00.000,3578.27,0
14198,Daisy,M,Romero,Germany,2011-08-15,SO59660,2013-06-07 00:00:00.000,2297.28,662
11276,Nancy,E,Chapman,Canada,2013-01-29,SO74923,2014-01-22 00:00:00.000,68.97,358
20759,Teresa,,Serrano,United States,2013-06-20,SO60538,2013-06-20 00:00:00.000,77.96,0
14091,Logan,A,Thomas,Canada,2013-01-31,SO52034,2013-01-31 00:00:00.000,53.99,0
16808,Jessica,R,Long,United States,2013-09-16,SO66462,2013-09-16 00:00:00.000,13.98,0
12385,Tara,,Raji,United Kingdom,2012-06-01,SO48429,2012-06-01 00:00:00.000,2071.4196,0
11017,Shannon,,Wang,Australia,2011-01-12,SO51256,2013-01-01 00:00:00.000,2316.97,720
28070,Ian,A,Morris,United States,2011-02-11,SO72713,2013-12-09 00:00:00.000,2419.06,1032
11501,Brandy,P,Chandra,Canada,2013-03-27,SO74793,2014-01-18 00:00:00.000,122.29,297
17356,Mary,E,Evans,United States,2014-01-11,SO74571,2014-01-11 00:00:00.000,13.98,0
12612,Shannon,,Torres,United Kingdom,2012-08-15,SO49323,2012-08-15 00:00:00.000,2049.0982,0
14100,Alisha,,Xu,Australia,2013-06-12,SO69567,2013-10-29 00:00:00.000,27.28,139
11181,Devin,P,Martin,United States,2013-05-07,SO57619,2013-05-07 00:00:00.000,37.29,0
14473,Miguel,,King,United States,2012-12-07,SO50868,2012-12-07 00:00:00.000,1000.4375,0
24728,Julia,J,Diaz,United States,2013-08-24,SO64869,2013-08-24 00:00:00.000,57.09,0
27788,Brent,L,Lin,United Kingdom,2013-03-11,SO54228,2013-03-11 00:00:00.000,6.28,0
14114,Chloe,C,Martin,United States,2014-01-28,SO75109,2014-01-28 00:00:00.000,85.48,0
11724,Jason,,Carter,Canada,2013-02-05,SO73056,2013-12-14 00:00:00.000,48.97,312
13548,Bridget,M,Jai,Germany,2011-02-01,SO74036,2013-12-27 00:00:00.000,2329.98,1060
21134,Bob,W,Chapman,United Kingdom,2013-05-10,SO57771,2013-05-10 00:00:00.000,69.97,0
24903,Tracy,B,Black,Australia,2012-04-23,SO47916,2012-04-23 00:00:00.000,1000.4375,0
18019,Yolanda,W,Raji,Germany,2012-12-03,SO58887,2013-05-29 00:00:00.000,1214.85,177
18687,Olivia,C,Smith,United States,2013-02-09,SO52497,2013-02-09 00:00:00.000,94.48,0
29417,Kellie,B,Vazquez,Germany,2013-07-10,SO61892,2013-07-10 00:00:00.000,195.27,0
21284,Cody,A,Stewart,Canada,2012-08-06,SO49244,2012-08-06 00:00:00.000,2049.0982,0
23133,Alexis,C,White,United States,2013-08-31,SO65472,2013-08-31 00:00:00.000,69.97,0
12944,Jose,,Jai,Canada,2013-03-26,SO65694,2013-09-04 00:00:00.000,77.96,162
26750,Randall,,Alvarez,Australia,2012-09-22,SO68446,2013-10-15 00:00:00.000,1155.48,388
16629,Rosa,G,Zheng,Australia,2011-01-06,SO43731,2011-01-06 00:00:00.000,3578.27,0
19455,Jack,,Perez,United Kingdom,2012-09-08,SO49648,2012-09-08 00:00:00.000,1000.4375,0
25889,Reginald,C,Munoz,United States,2011-03-12,SO44186,2011-03-12 00:00:00.000,3399.99,0
22047,David,B,Gonzales,United States,2013-09-20,SO66717,2013-09-20 00:00:00.000,23.97,0
13189,Gloria,R,Romero,United States,2012-01-20,SO46868,2012-01-20 00:00:00.000,2443.35,0
11290,Katelyn,,Sanchez,United States,2011-09-20,SO51677,2013-01-27 00:00:00.000,2354.98,495
11076,Blake,,Anderson,Australia,2011-04-21,SO51239,2012-12-31 00:00:00.000,2374.98,620
13564,Sabrina,,Blanco,France,2011-12-05,SO46430,2011-12-05 00:00:00.000,3578.27,0
17223,Francis,,Torres,France,2013-08-31,SO65479,2013-08-31 00:00:00.000,21.98,0
28139,Carrie,C,Gutierrez,Australia,2013-09-01,SO65507,2013-09-01 00:00:00.000,127.28,0
11132,Melissa,E,Richardson,Canada,2013-04-09,SO55957,2013-04-09 00:00:00.000,2371.94,0
28632,Kathryn,,Nath,United States,2013-05-04,SO57439,2013-05-04 00:00:00.000,74.98,0
11491,Andre,,Perez,United Kingdom,2011-11-07,SO46176,2011-11-07 00:00:00.000,3374.99,0
11836,Garrett,,Travers,United States,2013-03-24,SO56633,2013-04-22 00:00:00.000,35.00,29
25897,Kimberly,,Bailey,United States,2013-10-11,SO68170,2013-10-11 00:00:00.000,32.60,0
17234,Anna,M,Jenkins,Australia,2013-05-24,SO58545,2013-05-24 00:00:00.000,53.99,0
22439,Tracy,,Raji,United Kingdom,2013-10-26,SO69176,2013-10-26 00:00:00.000,1700.99,0
11123,Philip,A,Alvarez,Australia,2013-04-17,SO56345,2013-04-17 00:00:00.000,37.93,0
19874,Sara,,Rogers,Canada,2011-06-07,SO61851,2013-07-09 00:00:00.000,1169.46,763
13781,Dominique,,Patel,France,2013-06-03,SO59366,2013-06-03 00:00:00.000,69.97,0
25874,Jessica,,Hall,United States,2013-11-05,SO70109,2013-11-05 00:00:00.000,34.89,0
24702,Kari,D,Ramos,United Kingdom,2013-11-02,SO69939,2013-11-02 00:00:00.000,1174.48,0
24168,Manuel,,Srini,Australia,2012-10-26,SO66927,2013-09-23 00:00:00.000,608.96,332
11073,Amy,,Ye,Australia,2013-03-23,SO64686,2013-08-21 00:00:00.000,22.97,151
21278,Julia,C,King,United States,2013-12-30,SO74202,2013-12-30 00:00:00.000,14.98,0
17032,Alexandria,,Flores,United States,2013-10-13,SO68302,2013-10-13 00:00:00.000,12.94,0
15192,Tasha,,Shan,Australia,2012-09-29,SO68009,2013-10-08 00:00:00.000,2334.98,374
22112,Paige,,Reed,Canada,2011-03-27,SO53063,2013-02-20 00:00:00.000,2469.05,696
26474,Mackenzie,N,Morris,Canada,2013-07-25,SO62785,2013-07-25 00:00:00.000,13.98,0
12697,Brenda,J,Stone,Australia,2013-09-07,SO70823,2013-11-15 00:00:00.000,68.97,69
25054,Sheila,,Alonso,Australia,2013-07-23,SO62631,2013-07-23 00:00:00.000,103.48,0
13063,Jessica,,Johnson,United States,2012-01-08,SO46762,2012-01-08 00:00:00.000,2443.35,0
13440,Sydney,A,Miller,Canada,2013-05-12,SO57889,2013-05-12 00:00:00.000,2380.47,0
24897,Glenn,R,Hu,Australia,2013-07-15,SO62163,2013-07-15 00:00:00.000,4.99,0
15578,Diane,,Gill,Australia,2012-11-10,SO50483,2012-11-10 00:00:00.000,2071.4196,0
24629,Seth,,Perry,United States,2013-05-02,SO57327,2013-05-02 00:00:00.000,100.09,0
16498,Hunter,,Jones,United States,2013-09-07,SO65910,2013-09-07 00:00:00.000,39.98,0
12345,Alison,J,Raje,Australia,2013-03-31,SO55512,2013-04-02 00:00:00.000,24.49,2
28514,Lisa,S,Chen,France,2013-04-27,SO56881,2013-04-27 00:00:00.000,78.98,0
16282,Kristine,,Suarez,United Kingdom,2013-05-13,SO61139,2013-06-29 00:00:00.000,24.27,47
22462,Lydia,,Chandra,Germany,2013-02-08,SO52465,2013-02-08 00:00:00.000,553.97,0
24286,Kelvin,,Goel,United States,2013-12-18,SO73405,2013-12-18 00:00:00.000,575.71,0
12018,Devin,K,Henderson,United States,2011-10-29,SO66995,2013-09-24 00:00:00.000,2433.47,696
19588,Raymond,R,Raman,Australia,2011-08-07,SO55541,2013-04-02 00:00:00.000,2478.34,604
12895,Destiny,,Anderson,Canada,2013-02-16,SO52856,2013-02-16 00:00:00.000,37.27,0
15828,Robyn,O,Ramos,Australia,2013-05-02,SO70680,2013-11-13 00:00:00.000,122.29,195
17591,Spencer,,Hughes,United States,2013-11-27,SO71666,2013-11-27 00:00:00.000,2337.27,0
11834,Fernando,M,Flores,United States,2011-10-22,SO45968,2011-10-22 00:00:00.000,3578.27,0
13947,Megan,W,Hughes,United States,2012-12-05,SO60928,2013-06-26 00:00:00.000,2423.48,203
11307,Hunter,P,Rodriguez,United States,2011-09-04,SO45625,2011-09-04 00:00:00.000,3578.27,0
26783,Juan,,Torres,United States,2014-01-03,SO74312,2014-01-03 00:00:00.000,88.97,0
24802,Timothy,L,Allen,United States,2013-04-02,SO55545,2013-04-02 00:00:00.000,2407.04,0
13129,Joy,,Ramos,Australia,2012-06-18,SO71148,2013-11-19 00:00:00.000,2419.06,519
26919,Ramon,,He,Australia,2012-10-23,SO73032,2013-12-13 00:00:00.000,567.76,416
18629,Martin,L,Srini,United Kingdom,2013-08-20,SO64641,2013-08-20 00:00:00.000,24.99,0
23266,Jessica,,Watson,United States,2013-07-13,SO62081,2013-07-13 00:00:00.000,603.96,0
13288,Jackson,,Lopez,United States,2012-02-26,SO47326,2012-02-26 00:00:00.000,2181.5625,0
26222,Carolyn,,Madan,United Kingdom,2013-03-30,SO55380,2013-03-30 00:00:00.000,561.48,0
20627,Theresa,,Navarro,Australia,2011-12-15,SO64845,2013-08-23 00:00:00.000,2466.32,617
16897,Lauren,A,Torres,United States,2013-03-01,SO53705,2013-03-01 00:00:00.000,1763.97,0
11842,Justin,,Wilson,United States,2013-05-12,SO72288,2013-12-04 00:00:00.000,58.98,206
21195,Rafael,N,Xu,Australia,2012-01-13,SO65376,2013-08-29 00:00:00.000,1700.99,594
29197,Morgan,,Brown,Canada,2013-11-12,SO70623,2013-11-12 00:00:00.000,78.98,0
14334,Patrick,M,Murphy,United States,2012-07-24,SO48996,2012-07-24 00:00:00.000,1000.4375,0
17944,Riley,T,Rivera,France,2012-12-03,SO50816,2012-12-03 00:00:00.000,1000.4375,0
12194,Destiny,E,Foster,United States,2013-04-18,SO56417,2013-04-18 00:00:00.000,74.98,0
14834,Ebony,,Jimenez,Germany,2011-11-09,SO72652,2013-12-09 00:00:00.000,819.48,761
18746,Reginald,A,Alvarez,Australia,2011-07-02,SO53969,2013-03-06 00:00:00.000,2556.82,613
18937,Ian,D,Reed,United States,2013-12-01,SO72084,2013-12-01 00:00:00.000,69.99,0
20307,Natalie,T,Blue,United States,2013-06-09,SO59778,2013-06-09 00:00:00.000,119.98,0
11367,Calvin,J,Nara,Australia,2013-07-07,SO61663,2013-07-07 00:00:00.000,58.98,0
12730,Karla,M,Becker,United Kingdom,2013-08-22,SO73685,2013-12-22 00:00:00.000,8.99,122
14334,Patrick,M,Murphy,United States,2012-07-24,SO57888,2013-05-12 00:00:00.000,848.47,292
16270,Jerome,,Hernandez,Germany,2012-04-26,SO47933,2012-04-26 00:00:00.000,2181.5625,0
27852,Jamie,L,Ramos,United Kingdom,2013-09-11,SO66204,2013-09-11 00:00:00.000,574.98,0
21577,Tiffany,,Ma,Canada,2013-12-03,SO72213,2013-12-03 00:00:00.000,39.98,0
13830,Andrea,,Cox,United Kingdom,2013-12-11,SO74525,2014-01-09 00:00:00.000,195.59,29
17258,Fernando,,Green,Australia,2011-03-19,SO44222,2011-03-19 00:00:00.000,3578.27,0
26250,Miguel,D,Simmons,United States,2013-02-14,SO52735,2013-02-14 00:00:00.000,156.27,0
